##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	SRR077485_1.filt.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	22311940
Sequences flagged as poor quality	0
Sequence length	100
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	39.26633654446901	40.0	39.0	40.0	38.0	40.0
2	39.019285593274276	40.0	39.0	40.0	38.0	40.0
3	39.14833824400747	40.0	39.0	40.0	38.0	40.0
4	39.1472126583345	40.0	39.0	40.0	38.0	40.0
5	39.15421379763481	40.0	39.0	40.0	38.0	40.0
6	39.220328263700964	40.0	39.0	40.0	38.0	40.0
7	39.19724524178534	40.0	39.0	40.0	38.0	40.0
8	39.18093473718556	40.0	39.0	40.0	38.0	40.0
9	39.16877111537589	40.0	39.0	40.0	38.0	40.0
10-11	39.169400262818925	40.0	39.0	40.0	38.0	40.0
12-13	39.14964030469784	40.0	39.0	40.0	38.0	40.0
14-15	39.12119584850085	40.0	39.0	40.0	38.0	40.0
16-17	39.10260613823809	40.0	39.0	40.0	38.0	40.0
18-19	39.05752390872331	40.0	39.0	40.0	38.0	40.0
20-21	39.02689992443508	40.0	39.0	40.0	38.0	40.0
22-23	38.97199203655083	40.0	39.0	40.0	37.5	40.0
24-25	38.919606878648835	40.0	39.0	40.0	37.0	40.0
26-27	38.81699807367714	40.0	39.0	40.0	36.5	40.0
28-29	38.73281323811376	40.0	39.0	40.0	36.0	40.0
30-31	38.576564969249645	40.0	39.0	40.0	36.0	40.0
32-33	38.553534721767804	40.0	38.0	40.0	36.0	40.0
34-35	38.57465682051852	40.0	38.5	40.0	35.5	40.0
36-37	38.43176039376226	40.0	39.0	40.0	35.5	40.0
38-39	38.56098624772207	40.0	39.0	40.0	36.0	40.0
40-41	38.54084111466775	40.0	38.5	40.0	36.0	40.0
42-43	38.49129067216926	40.0	38.5	40.0	36.0	40.0
44-45	38.42276572543669	40.0	38.0	40.0	35.0	40.0
46-47	38.5218547333849	40.0	39.0	40.0	36.0	40.0
48-49	38.44424574913701	40.0	39.0	40.0	35.5	40.0
50-51	38.39410373997062	40.0	38.5	40.0	35.0	40.0
52-53	38.31801338207256	40.0	38.0	40.0	35.0	40.0
54-55	38.240534978132786	40.0	38.0	40.0	35.0	40.0
56-57	38.17334144856969	40.0	38.0	40.0	35.0	40.0
58-59	38.079633796971486	40.0	38.0	40.0	35.0	40.0
60-61	37.974290424768085	40.0	38.0	40.0	35.0	40.0
62-63	37.83040986126711	40.0	38.0	40.0	34.5	40.0
64-65	37.71716045310269	40.0	38.0	40.0	33.5	40.0
66-67	37.29221956943233	39.0	38.0	40.0	33.0	40.0
68-69	37.43847108319581	39.0	37.0	40.0	33.0	40.0
70-71	37.359292468516855	39.0	37.0	40.0	33.0	40.0
72-73	37.22398787375728	39.0	37.0	40.0	33.0	40.0
74-75	37.097135547155474	39.0	37.0	40.0	33.0	40.0
76-77	37.02978075864313	39.0	36.5	40.0	33.0	40.0
78-79	36.867900124328045	39.0	36.0	40.0	32.5	40.0
80-81	36.72240468556298	39.0	36.0	40.0	32.0	40.0
82-83	36.518850467507534	39.0	36.0	40.0	31.0	40.0
84-85	36.342646896684016	39.0	36.0	40.0	31.0	40.0
86-87	36.14539405806936	39.0	35.5	40.0	31.0	40.0
88-89	35.91658174950273	39.0	35.0	40.0	30.0	40.0
90-91	35.70147214899288	38.0	35.0	40.0	30.0	40.0
92-93	35.42117119802222	38.0	35.0	40.0	29.0	40.0
94-95	35.179907372465145	38.0	35.0	40.0	29.0	40.0
96-97	34.785246397220504	38.0	34.0	40.0	27.5	40.0
98-99	34.467817612453246	38.0	33.0	39.5	27.0	40.0
100	34.29951913639065	37.0	33.0	39.0	27.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1	1	-0.05510593835869315
1	2	0.0919668767037578
1	3	-0.0578334187002838
1	4	-0.05558775404595906
1	5	-0.07965323622584464
1	6	-0.08944759486480791
1	7	-0.1076590213163584
1	8	-0.1007870024804447
1	9	-0.07596226441577159
1	10-11	-0.12424260584534608
1	12-13	-0.12502410232136185
1	14-15	-0.1061270468537856
1	16-17	-0.10252710275705823
1	18-19	-0.11209663997294683
1	20-21	-0.11754114241312408
1	22-23	-0.09968133799060297
1	24-25	-0.1501479905479144
1	26-27	-0.06749653948788392
1	28-29	-0.08396912554149338
1	30-31	0.0463284332164875
1	32-33	-0.05337209230648199
1	34-35	-0.04876799084659211
1	36-37	0.16330071458438056
1	38-39	-0.046231762816752564
1	40-41	-0.06319875441104728
1	42-43	-0.08524816479052078
1	44-45	-0.10177591660119845
1	46-47	-0.053509093380768036
1	48-49	-0.03343677609593243
1	50-51	-0.014440767923069586
1	52-53	-0.04102339034670166
1	54-55	-0.009542468258388226
1	56-57	0.013931551575439016
1	58-59	-0.03679243240144814
1	60-61	0.022338311810891298
1	62-63	0.09247048202918506
1	64-65	0.11083165669165851
1	66-67	0.37693835830832967
1	68-69	0.06479231799099949
1	70-71	0.17433433694874623
1	72-73	0.15738708415300096
1	74-75	0.18187866102645955
1	76-77	0.15375586737859237
1	78-79	0.19231153200678364
1	80-81	0.1063118050602867
1	82-83	0.18292872483895195
1	84-85	0.20232626414635035
1	86-87	0.2055037693370565
1	88-89	0.1614874856038213
1	90-91	0.19080364019839635
1	92-93	0.36650184305116085
1	94-95	0.35246031940438627
1	96-97	0.41637488018920266
1	98-99	0.30562315956680663
1	100	0.3135223886931655
2	1	-0.09227248041238312
2	2	0.0501314780637685
2	3	-0.060057036717616086
2	4	-0.05889938317140064
2	5	-0.05326566111388331
2	6	-0.09184632035752571
2	7	-0.10684785462711233
2	8	-0.10259007007416443
2	9	-0.15167721654825783
2	10-11	-0.14558147778831199
2	12-13	-0.150180155063957
2	14-15	-0.14376672252546285
2	16-17	-0.14145375492808654
2	18-19	-0.13904893938759244
2	20-21	-0.13686725455625748
2	22-23	-0.13070266319252966
2	24-25	-0.14536983019211647
2	26-27	-0.15492252911947446
2	28-29	-0.154247429532262
2	30-31	-0.019830159010730597
2	32-33	-0.11364376247631469
2	34-35	-0.11302683084437604
2	36-37	0.09164846458706677
2	38-39	-0.08616490818185696
2	40-41	-0.1429576728843358
2	42-43	-0.139818412822315
2	44-45	-0.16649070624657014
2	46-47	-0.13095188944981828
2	48-49	-0.14824549359294537
2	50-51	-0.1206737643659821
2	52-53	-0.11647054322222061
2	54-55	-0.13723692828938283
2	56-57	-0.14126245914924596
2	58-59	-0.09748060747427445
2	60-61	-0.08002180719164187
2	62-63	-0.06721108520810049
2	64-65	-0.041194828972933806
2	66-67	0.33291365447571053
2	68-69	-0.025583061935193996
2	70-71	0.022557899487459565
2	72-73	0.00544261612159147
2	74-75	0.020417509321930538
2	76-77	-0.05253981368974081
2	78-79	-0.11007916637936432
2	80-81	-0.0604397436429025
2	82-83	-0.1328457976886881
2	84-85	-0.1939705370767868
2	86-87	-0.1108513178560031
2	88-89	-0.04214344177834306
2	90-91	-0.09908359836740033
2	92-93	-0.0821214634667129
2	94-95	-0.07456099098233437
2	96-97	-1.7790154065977504E-4
2	98-99	-0.014429826195446083
2	100	-0.04374513543410785
3	1	-0.07470680570693844
3	2	0.055801665724878546
3	3	-0.07420366002379097
3	4	-0.09708926563850184
3	5	-0.08413645519742374
3	6	-0.09313222876167515
3	7	-0.10424127129392957
3	8	-0.08688779955985382
3	9	-0.08474223589942653
3	10-11	-0.09596852303516812
3	12-13	-0.11050264209050908
3	14-15	-0.11512538281497342
3	16-17	-0.09695598685139117
3	18-19	-0.12532609822468999
3	20-21	-0.12745316971135878
3	22-23	-0.09547046342676424
3	24-25	-0.11331480481501899
3	26-27	-0.10785338215076479
